月份,策略,贵州茅台,中国平安,长江电力,中国中免,恒瑞医药
2018-12,GMV,-0.184165,0.222289,0.880907,-0.03796,0.11893
2018-12,MV,-0.140903,0.345864,0.795807,-0.127387,0.126619
2018-12,Utility,-0.841337,-1.654882,2.173612,1.32048,0.002127
2019-01,GMV,-0.141741,0.521028,0.495621,0.116945,0.008147
2019-01,MV,-0.03742,0.413088,0.545549,0.08758,-0.008798
2019-01,Utility,2.90181,-2.628096,1.952262,-0.739776,-0.486201
2019-02,GMV,0.084644,0.058726,0.769134,0.018458,0.069037
2019-02,MV,0.142924,0.044808,0.758003,-0.007577,0.061842
2019-02,Utility,1.985205,-0.39516,0.406126,-0.830575,-0.165596
2019-03,GMV,-0.008159,0.104435,0.818782,0.093192,-0.00825
2019-03,MV,0.171132,0.21907,0.534692,-0.167585,0.24269
2019-03,Utility,0.618819,0.50531,-0.174672,-0.818738,0.869281
2019-04,GMV,0.090966,0.008314,0.762364,0.196903,-0.058547
2019-04,MV,0.206449,0.120398,0.3043,0.482602,-0.113749
2019-04,Utility,0.501466,0.406729,-0.865886,1.21246,-0.254769
2019-05,GMV,0.035698,0.075681,0.8726,0.112278,-0.096257
2019-05,MV,0.059602,0.04418,0.865036,0.160954,-0.129772
2019-05,Utility,0.806331,-0.939839,0.62875,1.68147,-1.176712
2019-06,GMV,0.18693,-0.194992,0.92832,0.078639,0.001103
2019-06,MV,0.175988,-0.19744,0.853491,0.301097,-0.133137
2019-06,Utility,0.125277,-0.208787,0.50668,1.332134,-0.755304
2019-07,GMV,0.266669,-0.107707,0.719688,-0.088424,0.209774
2019-07,MV,0.217335,-0.057363,0.725075,-0.055499,0.170452
2019-07,Utility,-0.5188,0.69384,0.805467,0.435795,-0.416301
2019-08,GMV,0.221941,0.158844,0.566627,-0.058374,0.110963
2019-08,MV,0.252843,0.106852,0.580148,-0.065676,0.125834
2019-08,Utility,2.580376,-3.809169,1.598522,-0.615689,1.24596
2019-09,GMV,-0.028976,0.445946,0.321862,0.163283,0.097884
2019-09,MV,0.157569,0.224194,0.239426,0.099716,0.279096
2019-09,Utility,1.317221,-1.154328,-0.273038,-0.29545,1.405594
2019-10,GMV,0.004583,0.447637,0.35635,0.143606,0.047824
2019-10,MV,0.083654,0.468568,0.166811,0.047828,0.233138
2019-10,Utility,0.652395,0.619121,-1.196494,-0.641077,1.566055
2019-11,GMV,0.063252,0.403409,0.384775,0.077021,0.071543
2019-11,MV,0.17334,0.304365,0.398623,-0.028659,0.152331
2019-11,Utility,1.606022,-0.984596,0.57884,-1.40398,1.203714
2019-12,GMV,0.251289,0.220079,0.532266,0.091204,-0.094838
2019-12,MV,0.222863,0.34035,0.438214,0.122801,-0.124229
2019-12,Utility,0.683256,-1.607603,1.961502,-0.38896,0.351805
2020-01,GMV,0.169962,0.155353,0.563337,0.122708,-0.011361
2020-01,MV,0.129427,0.152395,0.572475,0.124258,0.021445
2020-01,Utility,-0.76506,0.087105,0.77411,0.15847,0.745375
2020-02,GMV,0.132486,0.036767,0.706263,-0.018594,0.143077
2020-02,MV,0.197048,0.024394,0.735879,0.029762,0.012917
2020-02,Utility,-0.449218,0.148249,0.43943,-0.454274,1.315813
2020-03,GMV,-0.358112,0.068466,1.045807,0.125616,0.118223
2020-03,MV,-0.446667,0.147506,1.053858,0.159688,0.085615
2020-03,Utility,2.271147,-2.278278,0.806761,-0.886016,1.086386
2020-04,GMV,-0.419927,0.260165,1.054478,0.073309,0.031975
2020-04,MV,0.060251,-0.180523,1.088514,0.11297,-0.081211
2020-04,Utility,2.663793,-2.569951,1.273059,0.328011,-0.694912
2020-05,GMV,-0.195492,0.250101,0.777311,-0.021298,0.189379
2020-05,MV,0.258039,-0.115884,0.733156,0.033003,0.091686
2020-05,Utility,1.97503,-1.501441,0.565991,0.23858,-0.278161
2020-06,GMV,0.03992,0.318746,0.441112,0.037477,0.162745
2020-06,MV,0.355524,0.098467,0.405496,0.154466,-0.013952
2020-06,Utility,2.489552,-1.391,0.164668,0.945508,-1.208728
2020-07,GMV,-0.10132,0.252504,0.625525,-0.016028,0.23932
2020-07,MV,0.088635,0.017203,0.583145,0.206626,0.104391
2020-07,Utility,0.555766,-0.561438,0.478924,0.75417,-0.227421
2020-08,GMV,-0.085094,0.227872,0.636108,-0.02347,0.244585
2020-08,MV,0.4246,0.060323,0.611262,0.098447,-0.194633
2020-08,Utility,1.478969,-0.286273,0.559866,0.350649,-1.103212
2020-09,GMV,0.103681,0.205086,0.469298,-0.026356,0.24829
2020-09,MV,0.175352,0.200602,0.56677,0.019922,0.037354
2020-09,Utility,0.644887,0.171226,1.205333,0.323103,-1.344549
2020-10,GMV,0.11755,0.180749,0.455353,-0.023538,0.269886
2020-10,MV,-0.105488,0.197776,0.248987,0.107973,0.550751
2020-10,Utility,0.329913,0.164538,0.651842,-0.148756,0.002463
2020-11,GMV,0.100433,0.219596,0.3202,0.014674,0.345096
2020-11,MV,0.108289,0.177191,0.326986,0.014543,0.372992
2020-11,Utility,-0.150362,1.573451,0.103569,0.018865,-0.545524
2020-12,GMV,0.189986,0.246742,0.413064,0.080472,0.069737
2020-12,MV,0.184278,0.244901,0.166732,0.184618,0.219472
2020-12,Utility,0.169698,0.240196,-0.462502,0.450649,0.601958
2021-01,GMV,0.179396,0.13546,0.54951,0.036821,0.098813
2021-01,MV,0.2494,-0.100548,0.56891,0.172351,0.109887
2021-01,Utility,0.559223,-1.145063,0.654773,0.772172,0.158895
2021-02,GMV,0.055228,0.182234,0.640895,0.018613,0.10303
2021-02,MV,0.045138,0.04884,0.530146,0.296616,0.07926
2021-02,Utility,0.035743,-0.075361,0.42703,0.555459,0.057128
2021-03,GMV,0.063136,0.25898,0.497892,-0.043481,0.223472
