code,name,date,bucket,start_time,end_time,bars,volume_lot,return,partition
000002,万科A,2026-05-13,14,13:18,13:26,5,18314.0,0.0,equal_time
000002,万科A,2026-05-13,15,13:28,13:36,5,21374.010000000002,0.0,equal_time
000002,万科A,2026-05-13,16,13:38,13:46,5,30283.0,0.0,equal_time
000002,万科A,2026-05-13,17,13:48,13:56,5,27159.0,0.0025031278279573515,equal_time
000002,万科A,2026-05-13,18,13:58,14:06,5,30605.0,-0.0025031278279573394,equal_time
000002,万科A,2026-05-13,19,14:08,14:16,5,21615.0,0.0,equal_time
000002,万科A,2026-05-13,20,14:18,14:26,5,36773.0,0.0,equal_time
000002,万科A,2026-05-13,21,14:28,14:36,5,50245.0,0.0,equal_time
000002,万科A,2026-05-13,22,14:38,14:46,5,40891.0,0.0,equal_time
000002,万科A,2026-05-13,23,14:48,14:56,5,52438.4,0.0025031278279573515,equal_time
000002,万科A,2026-05-14,0,09:30,09:38,5,127263.82,-0.015037862986818345,equal_time
000002,万科A,2026-05-14,1,09:40,09:48,5,140641.54,-0.005063297066661577,equal_time
000002,万科A,2026-05-14,2,09:50,09:58,5,137666.94,-0.002541294965066296,equal_time
000002,万科A,2026-05-14,3,10:00,10:08,5,55305.6,-0.002541294965066296,equal_time
000002,万科A,2026-05-14,4,10:10,10:18,5,59609.46000000001,-0.0025477696026228835,equal_time
000002,万科A,2026-05-14,5,10:20,10:28,5,61464.0,-0.002554277316255226,equal_time
000002,万科A,2026-05-14,6,10:30,10:38,5,32274.0,-0.0025608183600688106,equal_time
000002,万科A,2026-05-14,7,10:40,10:48,5,24783.0,0.0,equal_time
000002,万科A,2026-05-14,8,10:50,10:58,5,86467.0,-0.0025673929907794484,equal_time
000002,万科A,2026-05-14,9,11:00,11:08,5,11177.0,0.0,equal_time
000002,万科A,2026-05-14,10,11:10,11:18,5,54403.0,-0.0025673929907794484,equal_time
000002,万科A,2026-05-14,11,11:20,11:28,5,16097.01,0.0,equal_time
000002,万科A,2026-05-14,12,11:30,13:06,5,879208.7999999999,0.0,equal_time
000002,万科A,2026-05-14,13,13:08,13:16,5,31548.57,0.0,equal_time
000002,万科A,2026-05-14,14,13:18,13:26,5,53116.43,0.0051282113508481575,equal_time
000002,万科A,2026-05-14,15,13:28,13:36,5,43630.0,0.0,equal_time
000002,万科A,2026-05-14,16,13:38,13:46,5,20989.0,-0.0025673929907794484,equal_time
000002,万科A,2026-05-14,17,13:48,13:56,5,22994.0,0.0,equal_time
000002,万科A,2026-05-14,18,13:58,14:06,5,15452.89,0.0,equal_time
000002,万科A,2026-05-14,19,14:08,14:16,5,20393.0,0.0,equal_time
000002,万科A,2026-05-14,20,14:18,14:26,5,12165.99,0.0,equal_time
000002,万科A,2026-05-14,21,14:28,14:36,5,17532.0,0.0,equal_time
