date,momentum20,bp
2017-10-26,0.0030947425,-0.0009207498
2017-10-27,0.0038923205,-0.0003476131
2017-10-30,-0.0112698954,-0.0055117264
2017-10-31,0.003578001,-0.0012904004
2017-11-01,-0.0101914885,-0.0012437615
2017-11-02,-0.0015241387,-0.0021972466
2017-11-03,0.0044928525,-0.0040622767
2017-11-06,0.0264471315,-0.0011332962
2017-11-07,0.0013334515,0.0120420375
2017-11-08,-0.0104300139,0.0060317853
2017-11-09,0.0165248428,0.0011695999
2017-11-10,0.0241069251,-0.0046451347
2017-11-13,0.0056516439,0.006939929
2017-11-14,-0.0186100011,-0.0029793333
2017-11-15,-0.0080488452,-0.0031608599
2017-11-16,0.014253659,-0.0048021028
2017-11-17,-0.0073789276,0.0061852321
2017-11-20,0.0116639211,0.0041535794
2017-11-21,0.0228801874,0.0103516261
2017-11-22,-0.0133929758,0.0156645207
2017-11-23,-0.0465548208,-0.0164426742
2017-11-24,-0.0008725653,0.0016717086
2017-11-27,-0.0253619333,-0.0068734775
2017-11-28,0.008058674,-0.0007275117
2017-11-29,-0.0128811799,0.0079358651
2017-11-30,-0.0145406237,-0.0048338415
2017-12-01,-0.0019271607,-0.0002486428
2017-12-04,0.0039746202,-0.0024921621
2017-12-05,0.0004027736,0.0020576042
2017-12-06,-0.0046273495,-0.0036319184
2017-12-07,-0.015847363,-0.0052438362
2017-12-08,0.0020026431,0.0018329046
2017-12-11,0.0147136158,0.0059932937
2017-12-12,-0.0173140102,-0.0095502919
2017-12-13,0.0124133079,0.0032446098
2017-12-14,-0.0039095772,-0.0032876816
2017-12-15,-0.0111424995,-0.0054264121
2017-12-18,-0.0024357926,-0.0004784357
2017-12-19,0.0192617366,0.0060397276
2017-12-20,-0.0009332583,-0.0052130115
2017-12-21,0.0134237752,0.0032775465
2017-12-22,-0.0016609166,-0.0006281657
2017-12-25,0.0009703134,-0.0035179662
2017-12-26,0.0117427497,0.0114784625
2017-12-27,-0.0154165891,-0.0048482941
2017-12-28,0.0051384753,0.0035645885
2017-12-29,0.0051168496,0.0049366463
2018-01-02,0.0088627851,0.0155167755
2018-01-03,0.0049845202,0.0059141509
2018-01-04,0.0056407357,0.0016255188
2018-01-05,-0.0039453513,0.0054279543
2018-01-08,0.0108828823,0.0084810171
2018-01-09,0.0076327081,-0.0044332164
2018-01-10,0.0034860135,0.0045264664
2018-01-11,-0.0076007003,0.0004016005
2018-01-12,0.0035146014,0.0023817266
2018-01-15,0.0017741844,-0.0049877636
2018-01-16,0.0096189857,0.0109506893
2018-01-17,-0.0144580926,0.0101254471
2018-01-18,0.0061360627,0.0133618593
2018-01-19,-0.0040533256,0.0093586074
2018-01-22,0.0227152502,-0.0009780129
2018-01-23,0.0073805488,0.0153180189
2018-01-24,0.0004072218,0.0083002598
2018-01-25,0.0020564849,-0.002356674
2018-01-26,0.0049772271,0.0035660273
2018-01-29,-0.0183024758,-0.0044241601
2018-01-30,-0.0093930377,-0.0147105851
2018-01-31,0.011364755,-0.0023433987
2018-02-01,-0.0025689059,-0.0082051869
2018-02-02,0.0181537116,0.0082418417
2018-02-05,0.0086161615,0.0182148552
2018-02-06,-0.0404626841,-0.0307087321
2018-02-07,-0.034614642,-0.0124125027
2018-02-08,-0.0198908209,-0.01765422
2018-02-09,-0.0510556169,-0.0482445393
2018-02-12,0.01335291,0.0017969907
2018-02-13,0.0132104047,0.0081741756
2018-02-14,0.0116193512,0.0005629418
2018-02-22,0.0256115186,0.0160551191
2018-02-23,0.0065226254,0.0073672119
2018-02-26,0.0056135083,0.0102834264
2018-02-27,-0.0219877068,-0.0124214757
2018-02-28,-0.0102797166,-0.0071404194
2018-03-01,0.011760419,0.0016818906
2018-03-02,-0.0129973056,-0.0067890319
2018-03-05,0.0082062962,-6.23778e-05
2018-03-06,0.0114863274,0.0114840973
2018-03-07,-0.01051243,-0.0057315232
2018-03-08,0.0073972943,0.0024496536
2018-03-09,0.0149456239,0.0029304016
2018-03-12,0.0081373297,0.004716478
2018-03-13,-0.0080713245,-0.003224151
2018-03-14,-0.0107327716,-0.0063756106
2018-03-15,0.0015234155,-0.0006697622
2018-03-16,-0.0109225787,-0.0057894771
2018-03-19,0.0030202336,-0.0003360363
2018-03-20,0.0045315158,0.0021576907
2018-03-21,-0.0078321614,-0.0002916079
2018-03-22,-0.0120566174,-0.0037041206
2018-03-23,-0.0334531388,-0.0363998141
2018-03-26,0.0093454893,-0.0095035576
2018-03-27,0.0182892178,0.0084318762
2018-03-28,-0.0170381616,-0.0088869457
2018-03-29,0.0016650133,0.013429202
2018-03-30,0.0138031678,-0.0021972976
2018-04-02,0.0062221054,-0.0008044921
2018-04-03,-0.0071412571,-0.0096455938
2018-04-04,-0.0074861201,-0.0038682402
2018-04-09,0.007158824,0.0013675612
2018-04-10,-0.006193391,0.0220984632
2018-04-11,-0.0002372013,0.006172797
2018-04-12,-0.0039464595,-0.010104174
2018-04-13,-0.0034041793,-0.0057769668
2018-04-16,0.0051602406,-0.0183689564
2018-04-17,-0.0255145624,-0.0065821927
2018-04-18,0.0115656556,0.0082656993
2018-04-19,0.0096473173,0.0081706376
2018-04-20,-0.0155735954,-0.0174679772
2018-04-23,-0.0236842425,0.0022972331
2018-04-24,0.0189079081,0.0177657223
2018-04-25,0.0078778589,-0.007678991
2018-04-26,-0.0157554877,-0.0107807376
2018-04-27,0.0075757984,0.0056552388
2018-05-02,0.001512631,-0.0005884563
2018-05-03,0.0127500676,0.0057505504
2018-05-04,-0.0029569512,-0.0018322557
2018-05-07,0.020510344,0.0095806375
2018-05-08,0.0009302813,0.0055767369
2018-05-09,-0.0048069981,-0.0022558411
2018-05-10,0.0062978969,0.0048480865
2018-05-11,-0.0111495047,-0.0031009777
2018-05-14,0.0055497061,-0.0001194574
2018-05-15,0.0095735085,0.0018854416
2018-05-16,-0.0068191527,-0.0062091944
2018-05-17,-0.0097672887,0.0005532115
2018-05-18,0.0102928342,0.0132674409
2018-05-21,0.0027736002,0.0043280972
2018-05-22,-0.0037353426,-0.0037486821
2018-05-23,-0.0159157967,-0.0120300593
2018-05-24,-0.0067687576,-0.0037511131
2018-05-25,-0.0031724049,-0.0070189591
2018-05-28,0.0041309709,-0.0037270889
2018-05-29,-0.0090618569,-0.0055457568
2018-05-30,-0.0221868987,-0.0277468682
2018-05-31,0.0213329788,0.0136570506
2018-06-01,-0.0225877577,-3.49682e-05
2018-06-04,0.0055169236,0.0010407525
2018-06-05,0.017898316,0.0031222323
2018-06-06,0.001125893,-0.0032072258
2018-06-07,-0.0120542581,0.002236909
2018-06-08,-0.0081890782,-0.0189439593
2018-06-11,-0.0079657945,-0.0022028169
2018-06-12,0.0186899252,0.0029304023
2018-06-13,-0.0117027443,-0.0097475002
2018-06-14,-0.0073852728,0.0030400259
2018-06-15,-0.0129838319,-0.0014352008
2018-06-19,-0.0327076107,-0.0464891871
2018-06-20,0.012769021,0.0018863774
2018-06-21,-0.0106872802,-0.0057678232
2018-06-22,0.0095122695,0.0072834083
2018-06-25,-0.0016831424,-0.0111388115
2018-06-26,-0.0087470276,-0.0064777177
2018-06-27,-0.024974178,-0.0076845466
2018-06-28,-0.0131663699,-0.0045345247
2018-06-29,0.0311690155,0.0161156226
2018-07-02,-0.0301344982,-0.0272721226
2018-07-03,-0.0006524622,0.0094472223
2018-07-04,-0.0146498941,-0.0057832427
2018-07-05,-0.0064522758,-0.0115469751
2018-07-06,0.0024973987,0.0038516185
2018-07-09,0.0254385983,0.0232209789
2018-07-10,0.0075803334,0.0022214617
2018-07-11,-0.0203063803,-0.0191245535
2018-07-12,0.0216785469,0.0224835141
2018-07-13,0.0042660856,-0.0018413665
2018-07-16,0.0040733599,-0.007897129
2018-07-17,-0.0050073543,-0.0031358215
2018-07-18,-0.0038219548,0.0013352268
2018-07-19,0.0010560372,-0.0023558642
2018-07-20,0.0122221346,0.0248866896
2018-07-23,0.0190771531,0.0182031122
2018-07-24,0.015551026,0.019674479
2018-07-25,0.0028674261,-0.0027849773
2018-07-26,-0.0138716286,-0.0044477762
2018-07-27,-0.0028993355,-0.0005806169
2018-07-30,-0.0017921997,0.0057889562
2018-07-31,0.0015574353,0.0007758326
2018-08-01,-0.0198676811,-0.020308081
2018-08-02,-0.0120019476,-0.0212656577
2018-08-03,-0.0176450507,-0.0055409273
2018-08-06,-0.0096416766,-0.0086715842
2018-08-07,0.0379812136,0.0273485954
2018-08-08,-0.0116374072,-0.0058860714
2018-08-09,0.0228427845,0.0136382646
2018-08-10,-0.0046803415,-0.0008134802
2018-08-13,-0.0004345135,-0.007315077
2018-08-14,-0.0051674916,-0.0008325916
2018-08-15,-0.0230232197,-0.0185491149
2018-08-16,-0.0071699421,-0.0036657437
2018-08-17,-0.0148313321,-0.0097180491
2018-08-20,0.0124969725,0.0105473454
2018-08-21,0.0185391697,0.0093498164
2018-08-22,-0.0084536751,-0.0048097848
2018-08-23,0.0054255045,0.0017531398
2018-08-24,0.0045792902,0.0084905941
2018-08-27,0.0240843656,0.0144473755
2018-08-28,-0.0001453976,-0.0014572742
2018-08-29,-0.0067501731,-0.0032480437
2018-08-30,-0.0094043831,-0.0123478066
2018-08-31,0.0006174757,0.0031646982
2018-09-03,-0.0012203409,-0.0048415421
2018-09-04,0.0164054373,0.0088284005
2018-09-05,-0.0198341322,-0.0159917602
2018-09-06,-0.0068872799,-0.0066931876
2018-09-07,-0.0006185277,0.0014477202
2018-09-10,-0.0198716917,-0.0107211543
2018-09-11,0.0020833574,-0.0041627058
2018-09-12,-0.0041202778,0.0021792143
2018-09-13,0.0169186926,0.0098461083
2018-09-14,-0.0070772045,-0.0003659431
2018-09-17,-0.0090515572,-0.010492034
2018-09-18,0.0207839222,0.0195002655
2018-09-19,0.0192859107,0.0111362158
2018-09-20,-0.0023087924,0.0006346496
2018-09-21,0.0252688682,0.0265451456
2018-09-25,-0.0101358167,-0.0102374631
2018-09-26,0.0053907787,0.0050890778
2018-09-27,-0.0059071106,-0.0027427251
2018-09-28,0.008794234,0.0082701778
2018-10-08,-0.0394988741,-0.0315237556
2018-10-09,0.0026656684,-0.0021835475
2018-10-10,-0.0022904001,0.0031121077
2018-10-11,-0.0482530473,-0.0570918719
2018-10-12,0.0214364831,0.0042010508
2018-10-15,-0.0186688248,-0.0191241175
